step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_accumulated_waiting_time,J0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,reward
210.0,53,2679.0,30.10112359550562,3.6380666546956872,53,3796.0,0.14906311496034894,53,3796.0,0.0799999999999983
215.0,52,2385.0,25.64516129032258,3.5082051239883687,52,4039.0,0.14582639428110128,52,4039.0,-2.4299999999999997
220.0,54,2180.0,23.440860215053764,3.5765630691375403,54,4300.0,0.14169837348086572,54,4300.0,-2.6099999999999994
225.0,56,2051.0,21.144329896907216,3.375260645464376,56,4571.0,0.13510602772133146,56,4571.0,-2.710000000000001
230.0,55,1953.0,20.34375,3.368403545597046,55,4706.0,0.13217129486415602,55,4706.0,-1.3500000000000014
235.0,55,1881.0,19.0,3.338966055745627,55,4692.0,0.13167644097351106,55,4692.0,0.14000000000000057
240.0,52,1885.0,19.432989690721648,3.413242158729029,52,4675.0,0.1443328675529089,52,4675.0,0.1700000000000017
245.0,51,1934.0,19.14851485148515,3.319968370567728,51,4917.0,0.12932904808335266,51,4917.0,-2.4200000000000017
250.0,53,2071.0,20.30392156862745,3.499017080842923,53,5178.0,0.1318592917655327,53,5178.0,-2.6099999999999994
255.0,60,2272.0,21.233644859813083,3.402208659483931,60,5456.0,0.1261926203086189,60,5456.0,-2.780000000000001
260.0,64,2507.0,23.650943396226417,3.226824777065801,64,5766.0,0.1129609013591016,64,5766.0,-3.0999999999999943
265.0,70,2770.0,25.64814814814815,2.9419329516062778,70,6104.0,0.10170606622749051,70,6104.0,-3.3800000000000026
270.0,72,3053.0,28.009174311926607,2.9341769156542457,72,6462.0,0.09770783351668628,72,6462.0,-3.5800000000000054
275.0,73,2906.0,26.18018018018018,2.6725674362678586,73,6650.0,0.0903681220609434,73,6650.0,-1.8799999999999955
