RunNo, ExperimentNo, Scenario, Type, InitialTrainingSeed, TestingSeed, LearningRate, DiscountRate, Epsilon, RewardType, MeanReward, MeanStopped, MeanWaitingTime, MeanAverageSpeed, MeanAverageSpeed2, MeanAverageSpeedCrossCheck, 
3, DE-6, ../nets/roundabout/input_routes_roundabout_auto_v1-6.rou.xml, testing, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, -0.000, 6.782, 95.858, 0.374, 6.933, 8.074,
3, DE-6, ../nets/roundabout/input_routes_roundabout_auto_v1-6.rou.xml, baseline, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, -143.521, 143.521, 3231.695, 0.038, 0.704, 1.260,
3, DE-7, ../nets/roundabout/input_routes_roundabout_auto_v1-7.rou.xml, testing, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, -0.000, 10.560, 428.540, 0.307, 5.708, 7.130,
3, DE-7, ../nets/roundabout/input_routes_roundabout_auto_v1-7.rou.xml, baseline, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, -124.038, 124.038, 2837.818, 0.042, 0.774, 1.384,
3, DE-8, ../nets/roundabout/input_routes_roundabout_auto_v1-8.rou.xml, testing, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, 0.000, 2.807, 36.289, 0.402, 7.433, 8.579,
3, DE-8, ../nets/roundabout/input_routes_roundabout_auto_v1-8.rou.xml, baseline, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, -2.807, 2.807, 36.289, 0.402, 7.433, 8.579,
4, DE-1, ../nets/roundabout/input_routes_roundabout_auto_v1-1.rou.xml, testing, -, 480, 0.5, 0.99, 0.2, diff-waiting-time, -0.000, 8.175, 140.583, 0.342, 6.363, 7.679,
4, DE-1, ../nets/roundabout/input_routes_roundabout_auto_v1-1.rou.xml, baseline, -, 480, 0.5, 0.99, 0.2, diff-waiting-time, -143.948, 143.948, 3238.428, 0.038, 0.710, 1.265,
4, DE-2, ../nets/roundabout/input_routes_roundabout_auto_v1-2.rou.xml, testing, -, 480, 0.5, 0.99, 0.2, diff-waiting-time, -0.001, 7.669, 475.055, 0.327, 6.036, 7.397,
4, DE-2, ../nets/roundabout/input_routes_roundabout_auto_v1-2.rou.xml, baseline, -, 480, 0.5, 0.99, 0.2, diff-waiting-time, -5.059, 5.059, 71.631, 0.373, 6.945, 8.086,
4, DE-3, ../nets/roundabout/input_routes_roundabout_auto_v1-3.rou.xml, testing, -, 480, 0.5, 0.99, 0.2, diff-waiting-time, -0.000, 4.790, 68.116, 0.389, 7.223, 8.274,
4, DE-3, ../nets/roundabout/input_routes_roundabout_auto_v1-3.rou.xml, baseline, -, 480, 0.5, 0.99, 0.2, diff-waiting-time, -54.069, 54.069, 1234.775, 0.073, 1.366, 2.361,
4, DE-4, ../nets/roundabout/input_routes_roundabout_auto_v1-4.rou.xml, testing, -, 480, 0.5, 0.99, 0.2, diff-waiting-time, -0.000, 4.191, 409.486, 0.246, 4.534, 6.237,
4, DE-4, ../nets/roundabout/input_routes_roundabout_auto_v1-4.rou.xml, baseline, -, 480, 0.5, 0.99, 0.2, diff-waiting-time, -1.190, 1.190, 12.299, 0.407, 7.460, 8.947,
4, DE-5, ../nets/roundabout/input_routes_roundabout_auto_v1-5.rou.xml, testing, -, 480, 0.5, 0.99, 0.2, diff-waiting-time, -0.000, 9.886, 155.538, 0.349, 6.471, 7.754,
4, DE-5, ../nets/roundabout/input_routes_roundabout_auto_v1-5.rou.xml, baseline, -, 480, 0.5, 0.99, 0.2, diff-waiting-time, -201.611, 201.611, 4587.266, 0.027, 0.496, 0.892,
4, DE-6, ../nets/roundabout/input_routes_roundabout_auto_v1-6.rou.xml, testing, -, 480, 0.5, 0.99, 0.2, diff-waiting-time, -0.000, 8.198, 127.096, 0.344, 6.392, 7.692,
4, DE-6, ../nets/roundabout/input_routes_roundabout_auto_v1-6.rou.xml, baseline, -, 480, 0.5, 0.99, 0.2, diff-waiting-time, -143.037, 143.037, 3220.403, 0.038, 0.704, 1.262,
4, DE-7, ../nets/roundabout/input_routes_roundabout_auto_v1-7.rou.xml, testing, -, 480, 0.5, 0.99, 0.2, diff-waiting-time, -0.000, 6.443, 88.946, 0.381, 7.069, 8.167,
4, DE-7, ../nets/roundabout/input_routes_roundabout_auto_v1-7.rou.xml, baseline, -, 480, 0.5, 0.99, 0.2, diff-waiting-time, -127.340, 127.340, 2913.536, 0.041, 0.757, 1.354,
4, DE-8, ../nets/roundabout/input_routes_roundabout_auto_v1-8.rou.xml, testing, -, 480, 0.5, 0.99, 0.2, diff-waiting-time, 0.000, 3.009, 39.256, 0.400, 7.431, 8.425,
4, DE-8, ../nets/roundabout/input_routes_roundabout_auto_v1-8.rou.xml, baseline, -, 480, 0.5, 0.99, 0.2, diff-waiting-time, -2.896, 2.896, 38.303, 0.397, 7.340, 8.523,
5, DE-1, ../nets/roundabout/input_routes_roundabout_auto_v1-1.rou.xml, testing, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -0.000, 7.498, 110.495, 0.358, 6.653, 7.882,
5, DE-1, ../nets/roundabout/input_routes_roundabout_auto_v1-1.rou.xml, baseline, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -143.980, 143.980, 3239.376, 0.038, 0.699, 1.254,
5, DE-2, ../nets/roundabout/input_routes_roundabout_auto_v1-2.rou.xml, testing, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -0.000, 4.295, 67.594, 0.404, 7.509, 8.475,
5, DE-2, ../nets/roundabout/input_routes_roundabout_auto_v1-2.rou.xml, baseline, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -5.234, 5.234, 75.529, 0.368, 6.846, 8.021,
5, DE-3, ../nets/roundabout/input_routes_roundabout_auto_v1-3.rou.xml, testing, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -0.000, 7.519, 437.382, 0.323, 6.000, 7.413,
5, DE-3, ../nets/roundabout/input_routes_roundabout_auto_v1-3.rou.xml, baseline, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -53.465, 53.465, 1221.087, 0.074, 1.383, 2.385,
5, DE-4, ../nets/roundabout/input_routes_roundabout_auto_v1-4.rou.xml, testing, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, 0.000, 3.137, 319.794, 0.296, 5.463, 7.037,
5, DE-4, ../nets/roundabout/input_routes_roundabout_auto_v1-4.rou.xml, baseline, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -1.193, 1.193, 12.362, 0.405, 7.449, 8.962,
5, DE-5, ../nets/roundabout/input_routes_roundabout_auto_v1-5.rou.xml, testing, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -0.001, 33.601, 704.420, 0.168, 3.124, 4.706,
5, DE-5, ../nets/roundabout/input_routes_roundabout_auto_v1-5.rou.xml, baseline, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -201.570, 201.570, 4586.268, 0.027, 0.498, 0.894,
5, DE-6, ../nets/roundabout/input_routes_roundabout_auto_v1-6.rou.xml, testing, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -0.000, 7.981, 123.547, 0.349, 6.469, 7.745,
5, DE-6, ../nets/roundabout/input_routes_roundabout_auto_v1-6.rou.xml, baseline, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -143.085, 143.085, 3221.752, 0.038, 0.705, 1.262,
5, DE-7, ../nets/roundabout/input_routes_roundabout_auto_v1-7.rou.xml, testing, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -0.000, 8.633, 502.341, 0.346, 6.406, 7.691,
5, DE-7, ../nets/roundabout/input_routes_roundabout_auto_v1-7.rou.xml, baseline, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -126.968, 126.968, 2905.259, 0.041, 0.759, 1.359,
5, DE-8, ../nets/roundabout/input_routes_roundabout_auto_v1-8.rou.xml, testing, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -0.000, 2.906, 34.670, 0.398, 7.352, 8.382,
5, DE-8, ../nets/roundabout/input_routes_roundabout_auto_v1-8.rou.xml, baseline, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -2.526, 2.526, 30.235, 0.418, 7.728, 8.769,
