RunNo, ExperimentNo, InitialTrainingSeed, TestingSeed, LearningRate, DiscountRate, Epsilon, RewardType, MeanReward, MeanStopped, MeanWaitingTime, MeanAverageSpeed, MeanAverageSpeed2, MeanAverageSpeedCrossCheck, 
1, DoE-37, -, 180, 0.5, 0.8, 0.2, diff-waiting-time, -0.000 +/- 0.550, 6.222 +/- 1.464, 89.587 +/- 54.939, 0.385 +/- 0.051, 7.158 +/- 0.908, 8.225 +/- 0.608, 
1, DoE-38, -, 180, 0.5, 0.8, 0.2, average-speed-2, 2.024 +/- 1.580, 71.987 +/- 41.828, 7015.844 +/- 6347.054, 0.109 +/- 0.085, 2.024 +/- 1.580, 3.062 +/- 1.982, 
1, DoE-39, -, 180, 0.5, 0.8, 0.3, diff-waiting-time, 0.000 +/- 0.566, 6.529 +/- 1.348, 95.203 +/- 47.614, 0.380 +/- 0.059, 7.040 +/- 1.032, 8.171 +/- 0.650, 
1, DoE-40, -, 180, 0.5, 0.8, 0.3, average-speed-2, 2.429 +/- 0.458, 38.268 +/- 5.583, 1422.858 +/- 463.854, 0.131 +/- 0.025, 2.429 +/- 0.458, 3.851 +/- 0.439, 
1, DoE-41, -, 180, 0.5, 0.8, 0.4, diff-waiting-time, -0.000 +/- 0.557, 6.435 +/- 1.480, 90.916 +/- 43.543, 0.380 +/- 0.053, 7.053 +/- 0.939, 8.166 +/- 0.563, 
1, DoE-42, -, 180, 0.5, 0.8, 0.4, average-speed-2, 4.059 +/- 1.148, 20.375 +/- 7.232, 1042.560 +/- 633.496, 0.219 +/- 0.063, 4.059 +/- 1.148, 5.625 +/- 1.073, 
1, DoE-43, -, 180, 0.5, 0.9, 0.2, diff-waiting-time, -0.000 +/- 0.554, 6.403 +/- 1.273, 90.324 +/- 47.046, 0.380 +/- 0.052, 7.047 +/- 0.890, 8.164 +/- 0.542, 
1, DoE-44, -, 180, 0.5, 0.9, 0.2, average-speed-2, 6.623 +/- 0.965, 7.529 +/- 1.480, 118.742 +/- 59.989, 0.357 +/- 0.056, 6.623 +/- 0.965, 7.883 +/- 0.595, 
1, DoE-45, -, 180, 0.5, 0.9, 0.3, diff-waiting-time, -0.000 +/- 0.540, 6.112 +/- 1.405, 86.021 +/- 46.137, 0.386 +/- 0.063, 7.160 +/- 1.102, 8.243 +/- 0.686, 
1, DoE-46, -, 180, 0.5, 0.9, 0.3, average-speed-2, 3.820 +/- 1.276, 24.687 +/- 15.178, 1791.105 +/- 2844.191, 0.206 +/- 0.070, 3.820 +/- 1.276, 5.339 +/- 1.445, 
1, DoE-47, -, 180, 0.5, 0.9, 0.4, diff-waiting-time, -0.000 +/- 0.590, 7.016 +/- 1.461, 104.694 +/- 49.459, 0.365 +/- 0.051, 6.788 +/- 0.893, 7.989 +/- 0.562, 
1, DoE-48, -, 180, 0.5, 0.9, 0.4, average-speed-2, 2.857 +/- 1.011, 33.371 +/- 10.386, 1157.926 +/- 1048.603, 0.154 +/- 0.055, 2.857 +/- 1.011, 4.315 +/- 1.091, 
1, DoE-49, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, -0.000 +/- 1.307, 8.581 +/- 1.933, 441.992 +/- 298.411, 0.346 +/- 0.052, 6.423 +/- 0.940, 7.712 +/- 0.671, 
1, DoE-50, -, 180, 0.5, 0.99, 0.2, average-speed-2, 1.593 +/- 0.939, 74.040 +/- 21.990, 2416.468 +/- 1310.878, 0.086 +/- 0.051, 1.593 +/- 0.939, 2.620 +/- 1.150, 
1, DoE-51, -, 180, 0.5, 0.99, 0.3, diff-waiting-time, -0.000 +/- 0.592, 7.377 +/- 1.405, 109.468 +/- 39.666, 0.361 +/- 0.047, 6.701 +/- 0.833, 7.909 +/- 0.577, 
1, DoE-52, -, 180, 0.5, 0.99, 0.3, average-speed-2, 3.523 +/- 1.158, 26.431 +/- 11.460, 2181.845 +/- 1813.667, 0.190 +/- 0.063, 3.523 +/- 1.158, 5.018 +/- 1.405, 
1, DoE-53, -, 180, 0.5, 0.99, 0.4, diff-waiting-time, -0.000 +/- 0.538, 6.316 +/- 1.405, 85.383 +/- 39.773, 0.384 +/- 0.053, 7.128 +/- 0.923, 8.209 +/- 0.598, 
1, DoE-54, -, 180, 0.5, 0.99, 0.4, average-speed-2, 4.008 +/- 0.995, 20.549 +/- 6.444, 1491.811 +/- 958.028, 0.216 +/- 0.055, 4.008 +/- 0.995, 5.565 +/- 1.136, 
2, DoE-1, -, 280, 0.1, 0.8, 0.2, diff-waiting-time, -0.000 +/- 0.576, 6.706 +/- 1.397, 100.335 +/- 51.070, 0.376 +/- 0.061, 6.962 +/- 1.069, 8.118 +/- 0.640,
2, DoE-2, -, 280, 0.1, 0.8, 0.2, average-speed-2, 1.130 +/- 0.438, 90.930 +/- 9.225, 3376.507 +/- 1078.773, 0.061 +/- 0.024, 1.130 +/- 0.438, 1.986 +/- 0.437,
2, DoE-3, -, 280, 0.1, 0.8, 0.3, diff-waiting-time, -0.000 +/- 0.551, 5.506 +/- 1.511, 82.161 +/- 98.507, 0.404 +/- 0.057, 7.510 +/- 1.046, 8.471 +/- 0.662,
2, DoE-4, -, 280, 0.1, 0.8, 0.3, average-speed-2, 2.736 +/- 0.575, 32.825 +/- 6.880, 1056.926 +/- 1127.800, 0.147 +/- 0.033, 2.736 +/- 0.575, 4.237 +/- 0.606,
2, DoE-5, -, 280, 0.1, 0.8, 0.4, diff-waiting-time, -0.000 +/- 0.554, 6.657 +/- 1.410, 92.786 +/- 40.804, 0.377 +/- 0.049, 6.990 +/- 0.881, 8.110 +/- 0.571,
2, DoE-6, -, 280, 0.1, 0.8, 0.4, average-speed-2, 1.287 +/- 0.448, 69.781 +/- 7.021, 9679.912 +/- 8227.253, 0.070 +/- 0.024, 1.287 +/- 0.448, 2.233 +/- 0.469,
2, DoE-7, -, 280, 0.1, 0.9, 0.2, diff-waiting-time, -0.000 +/- 0.544, 6.365 +/- 1.488, 87.535 +/- 38.995, 0.384 +/- 0.051, 7.133 +/- 0.934, 8.206 +/- 0.619,
2, DoE-8, -, 280, 0.1, 0.9, 0.2, average-speed-2, 3.570 +/- 0.906, 23.941 +/- 8.796, 1265.760 +/- 1548.296, 0.192 +/- 0.050, 3.570 +/- 0.906, 5.156 +/- 0.978,
2, DoE-9, -, 280, 0.1, 0.9, 0.3, diff-waiting-time, -0.000 +/- 0.554, 6.449 +/- 1.328, 90.689 +/- 56.768, 0.381 +/- 0.052, 7.063 +/- 0.909, 8.164 +/- 0.599,
2, DoE-10, -, 280, 0.1, 0.9, 0.3, average-speed-2, 2.127 +/- 0.513, 44.366 +/- 6.605, 979.736 +/- 384.769, 0.114 +/- 0.028, 2.127 +/- 0.513, 3.471 +/- 0.434,
2, DoE-11, -, 280, 0.1, 0.9, 0.4, diff-waiting-time, 0.000 +/- 0.568, 6.545 +/- 1.365, 95.581 +/- 47.837, 0.379 +/- 0.059, 7.028 +/- 1.031, 8.164 +/- 0.647,
2, DoE-12, -, 280, 0.1, 0.9, 0.4, average-speed-2, 3.211 +/- 1.277, 32.034 +/- 16.672, 3024.154 +/- 3388.207, 0.173 +/- 0.069, 3.211 +/- 1.277, 4.646 +/- 1.557,
2, DoE-13, -, 280, 0.1, 0.99, 0.2, diff-waiting-time, 0.000 +/- 0.565, 6.521 +/- 1.388, 95.096 +/- 47.955, 0.380 +/- 0.059, 7.063 +/- 1.056, 8.189 +/- 0.647,
2, DoE-14, -, 280, 0.1, 0.99, 0.2, average-speed-2, 1.056 +/- 0.429, 97.630 +/- 9.013, 3588.430 +/- 1412.739, 0.057 +/- 0.023, 1.056 +/- 0.429, 1.864 +/- 0.425,
2, DoE-15, -, 280, 0.1, 0.99, 0.3, diff-waiting-time, -0.000 +/- 0.551, 6.353 +/- 1.255, 89.486 +/- 47.317, 0.380 +/- 0.052, 7.057 +/- 0.897, 8.168 +/- 0.551,
2, DoE-16, -, 280, 0.1, 0.99, 0.3, average-speed-2, 4.026 +/- 0.934, 20.161 +/- 5.618, 1556.660 +/- 977.329, 0.217 +/- 0.051, 4.026 +/- 0.934, 5.604 +/- 1.013,
2, DoE-17, -, 280, 0.1, 0.99, 0.4, diff-waiting-time, 0.000 +/- 0.565, 6.516 +/- 1.392, 94.954 +/- 47.975, 0.381 +/- 0.059, 7.065 +/- 1.057, 8.190 +/- 0.647,
2, DoE-18, -, 280, 0.1, 0.99, 0.4, average-speed-2, 1.425 +/- 0.871, 80.905 +/- 19.416, 2869.019 +/- 1441.021, 0.077 +/- 0.047, 1.425 +/- 0.871, 2.394 +/- 1.035,
2, DoE-19, -, 280, 0.3, 0.8, 0.2, diff-waiting-time, -0.000 +/- 0.571, 6.731 +/- 1.571, 96.349 +/- 47.440, 0.372 +/- 0.051, 6.918 +/- 0.881, 8.069 +/- 0.595,
2, DoE-20, -, 280, 0.3, 0.8, 0.2, average-speed-2, 2.000 +/- 1.457, 74.355 +/- 38.476, 5366.831 +/- 3618.656, 0.108 +/- 0.079, 2.000 +/- 1.457, 3.075 +/- 1.808,
2, DoE-21, -, 280, 0.3, 0.8, 0.3, diff-waiting-time, -0.000 +/- 0.579, 6.862 +/- 1.504, 100.140 +/- 47.927, 0.371 +/- 0.053, 6.884 +/- 0.939, 8.051 +/- 0.568,
2, DoE-22, -, 280, 0.3, 0.8, 0.3, average-speed-2, 1.738 +/- 0.457, 55.800 +/- 7.601, 1475.102 +/- 999.500, 0.094 +/- 0.025, 1.738 +/- 0.457, 2.922 +/- 0.467,
2, DoE-23, -, 280, 0.3, 0.8, 0.4, diff-waiting-time, -0.000 +/- 0.552, 6.287 +/- 1.465, 91.259 +/- 61.802, 0.384 +/- 0.049, 7.153 +/- 0.886, 8.223 +/- 0.608,
2, DoE-24, -, 280, 0.3, 0.8, 0.4, average-speed-2, 2.421 +/- 1.266, 48.701 +/- 23.203, 6188.091 +/- 6793.197, 0.131 +/- 0.069, 2.421 +/- 1.266, 3.689 +/- 1.562,
2, DoE-25, -, 280, 0.3, 0.9, 0.2, diff-waiting-time, -0.000 +/- 0.523, 6.225 +/- 1.596, 82.905 +/- 34.353, 0.385 +/- 0.046, 7.155 +/- 0.812, 8.226 +/- 0.549,
2, DoE-26, -, 280, 0.3, 0.9, 0.2, average-speed-2, 2.941 +/- 1.245, 35.977 +/- 16.995, 3580.080 +/- 3242.004, 0.158 +/- 0.068, 2.941 +/- 1.245, 4.336 +/- 1.550,
2, DoE-27, -, 280, 0.3, 0.9, 0.3, diff-waiting-time, -0.000 +/- 0.573, 6.795 +/- 1.599, 96.952 +/- 47.713, 0.373 +/- 0.052, 6.924 +/- 0.906, 8.079 +/- 0.595,
2, DoE-28, -, 280, 0.3, 0.9, 0.3, average-speed-2, 3.954 +/- 1.048, 21.426 +/- 7.601, 1703.742 +/- 1192.901, 0.213 +/- 0.058, 3.954 +/- 1.048, 5.500 +/- 1.193,
2, DoE-29, -, 280, 0.3, 0.9, 0.4, diff-waiting-time, -0.000 +/- 0.544, 6.453 +/- 1.303, 88.374 +/- 39.070, 0.381 +/- 0.052, 7.060 +/- 0.902, 8.163 +/- 0.594,
2, DoE-30, -, 280, 0.3, 0.9, 0.4, average-speed-2, 3.928 +/- 1.060, 21.835 +/- 10.561, 1162.373 +/- 1654.887, 0.211 +/- 0.058, 3.928 +/- 1.060, 5.501 +/- 1.157,
2, DoE-31, -, 280, 0.3, 0.99, 0.2, diff-waiting-time, -0.000 +/- 0.565, 6.201 +/- 1.675, 91.815 +/- 74.794, 0.383 +/- 0.060, 7.125 +/- 1.057, 8.206 +/- 0.638,
2, DoE-32, -, 280, 0.3, 0.99, 0.2, average-speed-2, 3.385 +/- 1.341, 29.854 +/- 15.464, 2803.665 +/- 2889.013, 0.182 +/- 0.073, 3.385 +/- 1.341, 4.831 +/- 1.586,
2, DoE-33, -, 280, 0.3, 0.99, 0.3, diff-waiting-time, -0.000 +/- 0.555, 6.648 +/- 1.403, 93.038 +/- 41.628, 0.377 +/- 0.048, 6.995 +/- 0.878, 8.113 +/- 0.568,
2, DoE-34, -, 280, 0.3, 0.99, 0.3, average-speed-2, 1.118 +/- 1.019, 96.792 +/- 27.646, 14990.240 +/- 10750.225, 0.060 +/- 0.055, 1.118 +/- 1.019, 1.857 +/- 1.339,
2, DoE-35, -, 280, 0.3, 0.99, 0.4, diff-waiting-time, -0.000 +/- 1.523, 12.649 +/- 2.744, 596.851 +/- 362.642, 0.276 +/- 0.042, 5.121 +/- 0.761, 6.655 +/- 0.660,
2, DoE-36, -, 280, 0.3, 0.99, 0.4, average-speed-2, 5.736 +/- 0.747, 10.734 +/- 2.200, 549.497 +/- 332.112, 0.309 +/- 0.042, 5.736 +/- 0.747, 7.195 +/- 0.550,
