RunNo, ExperimentNo, InitialTrainingSeed, TestingSeed, LearningRate, DiscountRate, Epsilon, RewardType, MeanReward, MeanStopped, MeanWaitingTime, MeanAverageSpeed, MeanAverageSpeed2, MeanAverageSpeedCrossCheck, 
5, DoE-33, -, 580, 0.3, 0.99, 0.3, diff-waiting-time, -0.000 +/- 1.355, 8.162 +/- 1.834, 465.324 +/- 333.154, 0.354 +/- 0.053, 6.565 +/- 0.937, 7.817 +/- 0.662, 
5, DoE-34, -, 580, 0.3, 0.99, 0.3, average-speed-2, 3.646 +/- 1.189, 26.055 +/- 14.532, 2065.865 +/- 2065.547, 0.196 +/- 0.065, 3.646 +/- 1.189, 5.154 +/- 1.395, 
5, DoE-35, -, 580, 0.3, 0.99, 0.4, diff-waiting-time, -0.000 +/- 1.313, 7.780 +/- 1.783, 433.543 +/- 305.168, 0.361 +/- 0.049, 6.705 +/- 0.879, 7.925 +/- 0.613, 
5, DoE-36, -, 580, 0.3, 0.99, 0.4, average-speed-2, 3.769 +/- 0.542, 21.650 +/- 3.201, 1471.646 +/- 816.941, 0.203 +/- 0.030, 3.769 +/- 0.542, 5.408 +/- 0.453, 
5, DoE-37, -, 580, 0.5, 0.8, 0.2, diff-waiting-time, -0.000 +/- 0.602, 7.628 +/- 1.506, 114.328 +/- 49.400, 0.356 +/- 0.044, 6.604 +/- 0.788, 7.844 +/- 0.525, 
5, DoE-38, -, 580, 0.5, 0.8, 0.2, average-speed-2, 2.430 +/- 1.090, 43.656 +/- 16.429, 3289.392 +/- 3795.175, 0.131 +/- 0.059, 2.430 +/- 1.090, 3.750 +/- 1.332, 
5, DoE-39, -, 580, 0.5, 0.8, 0.3, diff-waiting-time, -0.000 +/- 0.636, 7.412 +/- 1.961, 123.915 +/- 57.906, 0.361 +/- 0.052, 6.707 +/- 0.945, 7.865 +/- 0.734, 
5, DoE-40, -, 580, 0.5, 0.8, 0.3, average-speed-2, 2.812 +/- 1.335, 41.390 +/- 24.469, 3462.200 +/- 3554.052, 0.152 +/- 0.072, 2.812 +/- 1.335, 4.164 +/- 1.619, 
5, DoE-41, -, 580, 0.5, 0.8, 0.4, diff-waiting-time, -0.000 +/- 0.545, 6.493 +/- 1.291, 88.328 +/- 39.280, 0.379 +/- 0.050, 7.044 +/- 0.874, 8.151 +/- 0.569, 
5, DoE-42, -, 580, 0.5, 0.8, 0.4, average-speed-2, 4.352 +/- 0.609, 17.689 +/- 2.654, 1368.815 +/- 823.019, 0.234 +/- 0.035, 4.352 +/- 0.609, 5.992 +/- 0.536, 
5, DoE-43, -, 580, 0.5, 0.9, 0.2, diff-waiting-time, -0.000 +/- 0.628, 8.206 +/- 1.557, 127.126 +/- 49.704, 0.344 +/- 0.047, 6.388 +/- 0.820, 7.692 +/- 0.558, 
5, DoE-44, -, 580, 0.5, 0.9, 0.2, average-speed-2, 1.719 +/- 0.442, 57.861 +/- 6.702, 2105.718 +/- 1573.448, 0.093 +/- 0.024, 1.719 +/- 0.442, 2.895 +/- 0.442, 
5, DoE-45, -, 580, 0.5, 0.9, 0.3, diff-waiting-time, 0.000 +/- 0.565, 6.514 +/- 1.386, 94.890 +/- 47.898, 0.381 +/- 0.060, 7.065 +/- 1.061, 8.191 +/- 0.652, 
5, DoE-46, -, 580, 0.5, 0.9, 0.3, average-speed-2, 2.509 +/- 1.050, 41.171 +/- 17.463, 2898.417 +/- 4386.813, 0.135 +/- 0.057, 2.509 +/- 1.050, 3.858 +/- 1.270, 
5, DoE-47, -, 580, 0.5, 0.9, 0.4, diff-waiting-time, -0.000 +/- 0.527, 6.202 +/- 1.466, 82.822 +/- 42.009, 0.386 +/- 0.051, 7.174 +/- 0.898, 8.237 +/- 0.541, 
5, DoE-48, -, 580, 0.5, 0.9, 0.4, average-speed-2, 2.862 +/- 1.044, 34.793 +/- 14.412, 2344.146 +/- 2019.644, 0.154 +/- 0.057, 2.862 +/- 1.044, 4.290 +/- 1.276, 
5, DoE-49, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -0.000 +/- 0.650, 8.788 +/- 1.874, 140.773 +/- 53.672, 0.333 +/- 0.042, 6.183 +/- 0.728, 7.541 +/- 0.522, 
5, DoE-50, -, 580, 0.5, 0.99, 0.2, average-speed-2, 3.596 +/- 0.586, 22.121 +/- 4.278, 565.037 +/- 535.991, 0.193 +/- 0.033, 3.596 +/- 0.586, 5.228 +/- 0.511, 
5, DoE-51, -, 580, 0.5, 0.99, 0.3, diff-waiting-time, -0.000 +/- 0.627, 8.163 +/- 1.594, 126.350 +/- 50.098, 0.345 +/- 0.048, 6.404 +/- 0.833, 7.702 +/- 0.565, 
5, DoE-52, -, 580, 0.5, 0.99, 0.3, average-speed-2, 3.859 +/- 1.052, 22.085 +/- 7.272, 1828.678 +/- 1142.680, 0.208 +/- 0.058, 3.859 +/- 1.052, 5.395 +/- 1.213, 
5, DoE-53, -, 580, 0.5, 0.99, 0.4, diff-waiting-time, -0.000 +/- 0.540, 6.416 +/- 1.331, 86.665 +/- 39.389, 0.381 +/- 0.051, 7.079 +/- 0.887, 8.174 +/- 0.577, 
5, DoE-54, -, 580, 0.5, 0.99, 0.4, average-speed-2, 2.755 +/- 0.537, 31.931 +/- 4.525, 688.157 +/- 176.420, 0.149 +/- 0.030, 2.755 +/- 0.537, 4.268 +/- 0.397, 
