RunNo, ExperimentNo, InitialTrainingSeed, TestingSeed, LearningRate, DiscountRate, Epsilon, RewardType, MeanReward, MeanStopped, MeanWaitingTime, MeanAverageSpeed, MeanAverageSpeed2, MeanAverageSpeedCrossCheck, 
3, DoE-45, -, 380, 0.5, 0.9, 0.3, diff-waiting-time, -0.000, 7.052, 104.241, 0.367, 6.809, 7.998,
3, DoE-46, -, 380, 0.5, 0.9, 0.3, average-speed-2, 3.624, 24.552, 1954.328, 0.195, 3.624, 5.145,
3, DoE-47, -, 380, 0.5, 0.9, 0.4, diff-waiting-time, -0.000, 8.992, 153.354, 0.328, 6.074, 7.479,
3, DoE-48, -, 380, 0.5, 0.9, 0.4, average-speed-2, 3.534, 26.381, 2227.826, 0.190, 3.534, 5.036,
3, DoE-49, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, -0.001, 8.407, 433.583, 0.346, 6.424, 7.689,
3, DoE-50, -, 380, 0.5, 0.99, 0.2, average-speed-2, 2.930, 36.119, 3452.285, 0.158, 2.930, 4.320,
3, DoE-51, -, 380, 0.5, 0.99, 0.3, diff-waiting-time, -0.000, 7.084, 104.973, 0.366, 6.794, 7.987,
3, DoE-52, -, 380, 0.5, 0.99, 0.3, average-speed-2, 1.230, 83.318, 2975.232, 0.066, 1.230, 2.148,
3, DoE-53, -, 380, 0.5, 0.99, 0.4, diff-waiting-time, -0.000, 6.259, 83.288, 0.385, 7.151, 8.226,
3, DoE-54, -, 380, 0.5, 0.99, 0.4, average-speed-2, 5.119, 12.945, 296.608, 0.276, 5.119, 6.678,
4, DoE-1, -, 480, 0.1, 0.8, 0.2, diff-waiting-time, -0.000, 6.187, 82.696, 0.387, 7.180, 8.240,
4, DoE-2, -, 480, 0.1, 0.8, 0.2, average-speed-2, 2.042, 60.123, 4577.448, 0.110, 2.042, 3.202,
4, DoE-3, -, 480, 0.1, 0.8, 0.3, diff-waiting-time, 0.000, 6.482, 94.405, 0.381, 7.079, 8.200,
4, DoE-4, -, 480, 0.1, 0.8, 0.3, average-speed-2, 3.656, 22.391, 845.460, 0.197, 3.656, 5.260,
4, DoE-5, -, 480, 0.1, 0.8, 0.4, diff-waiting-time, -0.000, 7.130, 103.884, 0.366, 6.792, 7.975,
4, DoE-6, -, 480, 0.1, 0.8, 0.4, average-speed-2, 3.364, 27.242, 2159.385, 0.181, 3.364, 4.870,
4, DoE-7, -, 480, 0.1, 0.9, 0.2, diff-waiting-time, -0.000, 5.942, 82.675, 0.390, 7.238, 8.291,
4, DoE-8, -, 480, 0.1, 0.9, 0.2, average-speed-2, 3.385, 27.711, 1881.389, 0.182, 3.385, 4.920,
4, DoE-9, -, 480, 0.1, 0.9, 0.3, diff-waiting-time, -0.000, 9.057, 146.494, 0.328, 6.098, 7.477,
4, DoE-10, -, 480, 0.1, 0.9, 0.3, average-speed-2, 3.976, 22.030, 1730.324, 0.214, 3.976, 5.488,
4, DoE-11, -, 480, 0.1, 0.9, 0.4, diff-waiting-time, -0.000, 6.448, 91.050, 0.380, 7.051, 8.165,
4, DoE-12, -, 480, 0.1, 0.9, 0.4, average-speed-2, 3.885, 25.463, 1297.383, 0.209, 3.885, 5.355,
4, DoE-13, -, 480, 0.1, 0.99, 0.2, diff-waiting-time, -0.000, 6.021, 78.584, 0.391, 7.267, 8.296,
4, DoE-14, -, 480, 0.1, 0.99, 0.2, average-speed-2, 1.539, 82.587, 705672.772, 0.083, 1.539, 2.452,
4, DoE-15, -, 480, 0.1, 0.99, 0.3, diff-waiting-time, 0.000, 6.499, 94.820, 0.381, 7.073, 8.194,
4, DoE-16, -, 480, 0.1, 0.99, 0.3, average-speed-2, 4.196, 18.709, 1242.819, 0.226, 4.196, 5.784,
4, DoE-17, -, 480, 0.1, 0.99, 0.4, diff-waiting-time, -0.000, 8.343, 472.958, 0.347, 6.441, 7.710,
4, DoE-18, -, 480, 0.1, 0.99, 0.4, average-speed-2, 4.245, 17.492, 460.877, 0.229, 4.245, 5.891,
4, DoE-19, -, 480, 0.3, 0.8, 0.2, diff-waiting-time, -0.000, 5.679, 75.919, 0.401, 7.443, 8.436,
4, DoE-20, -, 480, 0.3, 0.8, 0.2, average-speed-2, 3.080, 32.384, 2915.933, 0.166, 3.080, 4.517,
4, DoE-21, -, 480, 0.3, 0.8, 0.3, diff-waiting-time, -0.000, 8.573, 136.164, 0.336, 6.256, 7.598,
4, DoE-22, -, 480, 0.3, 0.8, 0.3, average-speed-2, 1.986, 48.207, 1073.479, 0.107, 1.986, 3.270,
4, DoE-23, -, 480, 0.3, 0.8, 0.4, diff-waiting-time, -0.000, 6.959, 103.403, 0.366, 6.814, 7.999,
4, DoE-24, -, 480, 0.3, 0.8, 0.4, average-speed-2, 3.653, 22.894, 1551.936, 0.197, 3.653, 5.247,
4, DoE-25, -, 480, 0.3, 0.9, 0.2, diff-waiting-time, -0.000, 6.104, 84.242, 0.385, 7.170, 8.242,
4, DoE-26, -, 480, 0.3, 0.9, 0.2, average-speed-2, 3.932, 21.424, 1670.773, 0.212, 3.932, 5.472,
4, DoE-27, -, 480, 0.3, 0.9, 0.3, diff-waiting-time, -0.000, 6.993, 99.858, 0.368, 6.835, 8.007,
4, DoE-28, -, 480, 0.3, 0.9, 0.3, average-speed-2, 1.808, 61.558, 2240.235, 0.097, 1.808, 2.924,
4, DoE-29, -, 480, 0.3, 0.9, 0.4, diff-waiting-time, -0.000, 6.494, 88.473, 0.379, 7.043, 8.151,
